epoch,learning_rate,step,test_auc,test_loss,train_loss,val_auc,val_loss
0,,1028,,,,0.35701119899749756,0.14469371736049652
0,0.0002999998105224222,1028,,,0.2771841883659363,,
1,,2057,,,,0.45688197016716003,0.2336607724428177
1,0.00029099982930347323,2057,,,0.23499803245067596,,
2,,3086,,,,0.4648521840572357,0.12609553337097168
2,0.0002822699607349932,3086,,,0.2253859043121338,,
3,,4115,,,,0.47699883580207825,0.13334307074546814
3,0.00027380388928577304,4115,,,0.21090345084667206,,
4,,5144,,,,0.48205098509788513,0.14504548907279968
4,0.0002655872667673975,5144,,,0.20119121670722961,,
5,,6173,,,,0.492568701505661,0.11766599118709564
5,0.0002576220140326768,6173,,,0.19433146715164185,,
6,,7202,,,,0.5074006915092468,0.14232781529426575
6,0.0002498924150131643,7202,,,0.18744415044784546,,
7,,8231,,,,0.5131387114524841,0.12071528285741806
7,0.00024239643244072795,8231,,,0.1855863630771637,,
8,,9260,,,,0.6393910646438599,0.10953430831432343
8,0.00023512465122621506,9260,,,0.1789741814136505,,
9,,10289,,,,0.47414204478263855,0.1232057586312294
9,0.0002280662301927805,10289,,,0.17207346856594086,,
10,,11318,,,,0.7328409552574158,0.13319416344165802
10,0.00022122578229755163,11318,,,0.1684177666902542,,
11,,12347,,,,0.6569052338600159,0.09993793815374374
11,0.00021459140407387167,12347,,,0.16284537315368652,,
12,,13376,,,,0.5944358706474304,0.10618939250707626
12,0.0002081540587823838,13376,,,0.1591973602771759,,
13,,14405,,,,0.7158840298652649,0.10316531360149384
13,0.00020190981740597636,14405,,,0.155573308467865,,
14,,15434,,,,0.7219650149345398,0.09958374500274658
14,0.00019584965775720775,15434,,,0.15216168761253357,,
15,,16463,,,,0.7473851442337036,0.09577640146017075
15,0.00018997493316419423,16463,,,0.15117619931697845,,
16,,17492,,,,0.6866732835769653,0.09427221864461899
16,0.00018427782924845815,17492,,,0.14741654694080353,,
17,,18521,,,,0.6594741940498352,0.09490453451871872
17,0.00017874935292638838,18521,,,0.14584125578403473,,
18,,19550,,,,0.711063027381897,0.10480349510908127
18,0.00017338590987492353,19550,,,0.14550255239009857,,
19,,20579,,,,0.6355422139167786,0.09498050808906555
19,0.00016818437143228948,20579,,,0.14110419154167175,,
20,,21608,,,,0.7263098955154419,0.11384191364049911
20,0.0001631379418540746,21608,,,0.14081215858459473,,
21,,22637,,,,0.7505083084106445,0.11478020250797272
21,0.00015824490401428193,22637,,,0.13778738677501678,,
22,,23666,,,,0.6995946168899536,0.09047260135412216
22,0.00015349684690590948,23666,,,0.13821496069431305,,
23,,24695,,,,0.6940831542015076,0.09567403793334961
23,0.00014889232988934964,24695,,,0.13474856317043304,,
24,,25724,,,,0.6815813183784485,0.09303639084100723
24,0.00014442353858612478,25724,,,0.13533003628253937,,
25,,26753,,,,0.6355422139167786,0.09475462138652802
25,0.0001400921755703166,26753,,,0.13383570313453674,,
26,,27782,,,,0.7112176418304443,0.08818236738443375
26,0.0001358899608021602,27782,,,0.1328953504562378,,
27,,28811,,,,0.7211964726448059,0.09390465915203094
27,0.00013181427493691444,28811,,,0.1300390362739563,,
28,,29840,,,,0.7045395970344543,0.08518211543560028
28,0.00012785893341060728,29840,,,0.12926100194454193,,
29,,30869,,,,0.7564024925231934,0.0910448431968689
29,0.0001240223937202245,30869,,,0.12721684575080872,,
30,,31898,,,,0.6649856567382812,0.0898691788315773
30,0.00012030302605126053,31898,,,0.1262272298336029,,
31,,32927,,,,0.708324134349823,0.08608650416135788
31,0.00011669245577650145,32927,,,0.12576910853385925,,
32,,33956,,,,0.6913917064666748,0.08807846158742905
32,0.0001131911194534041,33956,,,0.12405051290988922,,
33,,34985,,,,0.7456734776496887,0.09257876127958298
33,0.00010979753278661519,34985,,,0.12361511588096619,,
34,,36014,,,,0.6940065622329712,0.0860854908823967
34,0.00010650394688127562,36014,,,0.1215086579322815,,
35,,37043,,,,0.6891932487487793,0.08907722681760788
35,0.00010330807708669454,37043,,,0.12056571990251541,,
36,,38072,,,,0.7325592637062073,0.08494365960359573
36,0.00010020860645454377,38072,,,0.12004490196704865,,
37,,39101,,,,0.691413164138794,0.08533428609371185
37,9.72008565440774e-05,39101,,,0.11947587877511978,,
38,,40130,,,,0.7385055422782898,0.08522631227970123
38,9.428663179278374e-05,40130,,,0.11882193386554718,,
39,,41159,,,,0.6983912587165833,0.08636519312858582
39,9.145646617980674e-05,41159,,,0.11628011614084244,,
40,,42188,,,,0.7132232189178467,0.08888120949268341
40,8.871401951182634e-05,42188,,,0.1170683205127716,,
41,,43217,,,,0.6625943183898926,0.09814724326133728
41,8.605222683399916e-05,43217,,,0.11705285310745239,,
42,,44246,,,,0.7661577463150024,0.08600924164056778
42,8.346953836735338e-05,44246,,,0.11505727469921112,,
43,,45275,,,,0.7568280696868896,0.08544477075338364
43,8.096599776763469e-05,45275,,,0.11491744965314865,,
44,,46304,,,,0.7142336368560791,0.08880417048931122
44,7.853711576899514e-05,46304,,,0.11312223225831985,,
45,,47333,,,,0.7844313383102417,0.08062829822301865
45,7.61820119805634e-05,47333,,,0.11267853528261185,,
46,,48362,,,,0.7309946417808533,0.08260340988636017
46,7.389544771285728e-05,48362,,,0.11169140785932541,,
47,,49391,,,,0.7673121094703674,0.07998981326818466
47,7.167907460825518e-05,49391,,,0.1116972267627716,,
48,,50420,,,,0.7374124526977539,0.0841340720653534
48,6.952881085453555e-05,50420,,,0.11139299720525742,,
49,,51449,,,,0.7790790796279907,0.07785814255475998
49,6.744269921910018e-05,51449,,,0.11004713922739029,,
50,,51450,0.750288724899292,0.12033267319202423,,,
